film,year_film,year_ceremony,ceremony,category,name,winner
The Wonderful World of the Brothers Grimm,1962,1963,35,ART DIRECTION (Color),"Art Direction:  George W. Davis, Edward Carfagno;  Set Decoration:  Henry Grace, Dick Pefferle",FALSE
Two for the Seesaw,1962,1963,35,CINEMATOGRAPHY (Black-and-White),Ted McCord,FALSE
Gypsy,1962,1963,35,CINEMATOGRAPHY (Color),"Harry Stradling, Sr.",FALSE
Phaedra,1962,1963,35,COSTUME DESIGN (Black-and-White),Denny Vachlioti,FALSE
Bon Voyage!,1962,1963,35,COSTUME DESIGN (Color),Bill Thomas,FALSE
My Geisha,1962,1963,35,COSTUME DESIGN (Color),Edith Head,FALSE
David and Lisa,1962,1963,35,DIRECTING,Frank Perry,FALSE
Alvorada (Brazil's Changing Face),1962,1963,35,DOCUMENTARY (Feature),"Hugo Niebeling, Producer",FALSE
Black Fox,1962,1963,35,DOCUMENTARY (Feature),"Louis Clyde Stoumen, Producer",TRUE
Dylan Thomas,1962,1963,35,DOCUMENTARY (Short Subject),"Jack Howells, Producer",TRUE
The John Glenn Story,1962,1963,35,DOCUMENTARY (Short Subject),"William L. Hendricks, Producer",FALSE
The Road to the Wall,1962,1963,35,DOCUMENTARY (Short Subject),"Robert Saudek, Producer",FALSE
Electra,1962,1963,35,FOREIGN LANGUAGE FILM,Greece,FALSE
The Four Days of Naples,1962,1963,35,FOREIGN LANGUAGE FILM,Italy,FALSE
Keeper of Promises (The Given Word),1962,1963,35,FOREIGN LANGUAGE FILM,Brazil,FALSE
Sundays and Cybele,1962,1963,35,FOREIGN LANGUAGE FILM,France,TRUE
Tlayucan,1962,1963,35,FOREIGN LANGUAGE FILM,Mexico,FALSE
Freud,1962,1963,35,MUSIC (Music Score--substantially original),Jerry Goldsmith,FALSE
Taras Bulba,1962,1963,35,MUSIC (Music Score--substantially original),Franz Waxman,FALSE
Billy Rose's Jumbo,1962,1963,35,MUSIC (Scoring of Music--adaptation or treatment),George Stoll,FALSE
Gigot,1962,1963,35,MUSIC (Scoring of Music--adaptation or treatment),Michel Magne,FALSE
Tender Is the Night,1962,1963,35,MUSIC (Song),Music by Sammy Fain; Lyrics by Paul Francis Webster,FALSE
Walk on the Wild Side,1962,1963,35,MUSIC (Song),Music by Elmer Bernstein; Lyrics by Mack David,FALSE
Icarus Montgolfier Wright,1962,1963,35,SHORT SUBJECT (Cartoon),"Jules Engel, Producer",FALSE
Now Hear This,1962,1963,35,SHORT SUBJECT (Cartoon),Warner Bros.,FALSE
Self Defense--For Cowards,1962,1963,35,SHORT SUBJECT (Cartoon),"William L. Snyder, Producer",FALSE
Symposium on Popular Songs,1962,1963,35,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",FALSE
Big City Blues,1962,1963,35,SHORT SUBJECT (Live Action),"Martina Huguenot van der Linden and Charles Huguenot van der Linden, Producers",FALSE
The Cadillac,1962,1963,35,SHORT SUBJECT (Live Action),"Robert Clouse, Producer",FALSE
The Cliff Dwellers (formerly titled 'One Plus One'),1962,1963,35,SHORT SUBJECT (Live Action),"Hayward Anderson, Producer",FALSE
Heureux Anniversaire (Happy Anniversary),1962,1963,35,SHORT SUBJECT (Live Action),"Pierre Etaix and J.C. Carri̬re, Producers",TRUE
Last Year at Marienbad,1962,1963,35,WRITING (Story and Screenplay--written directly for the screen),Alain Robbe-Grillet,FALSE
Twilight of Honor,1963,1964,36,ACTOR IN A SUPPORTING ROLE,Nick Adams,FALSE
"Captain Newman, M.D.",1963,1964,36,ACTOR IN A SUPPORTING ROLE,Bobby Darin,FALSE
The Cardinal,1963,1964,36,ACTOR IN A SUPPORTING ROLE,John Huston,FALSE
The L-Shaped Room,1963,1964,36,ACTRESS,Leslie Caron,FALSE
Irma La Douce,1963,1964,36,ACTRESS,Shirley MacLaine,FALSE
Love with the Proper Stranger,1963,1964,36,ACTRESS,Natalie Wood,FALSE
The V.I.P.s,1963,1964,36,ACTRESS IN A SUPPORTING ROLE,Margaret Rutherford,TRUE
America America,1963,1964,36,ART DIRECTION (Black-and-White),Gene Callahan,TRUE
Federico Fellini's 8-1/2,1963,1964,36,ART DIRECTION (Black-and-White),Piero Gherardi,FALSE
Come Blow Your Horn,1963,1964,36,ART DIRECTION (Color),"Art Direction:  Hal Pereira, Roland Anderson;  Set Decoration:  Sam Comer, James Payne",FALSE
The Balcony,1963,1964,36,CINEMATOGRAPHY (Black-and-White),George Folsey,FALSE
The Caretakers,1963,1964,36,CINEMATOGRAPHY (Black-and-White),Lucien Ballard,FALSE
The Stripper,1963,1964,36,COSTUME DESIGN (Black-and-White),Travilla,FALSE
Toys in the Attic,1963,1964,36,COSTUME DESIGN (Black-and-White),Bill Thomas,FALSE
Wives and Lovers,1963,1964,36,COSTUME DESIGN (Black-and-White),Edith Head,FALSE
The Leopard,1963,1964,36,COSTUME DESIGN (Color),Piero Tosi,FALSE
A New Kind of Love,1963,1964,36,COSTUME DESIGN (Color),Edith Head,FALSE
Le Maillon et la Chaine (The Link and the Chain),1963,1964,36,DOCUMENTARY (Feature),"Paul de Roubaix, Producer",FALSE
Robert Frost: A Lover's Quarrel with the World,1963,1964,36,DOCUMENTARY (Feature),"Robert Hughes, Producer",TRUE
The Yanks Are Coming,1963,1964,36,DOCUMENTARY (Feature),"Marshall Flaum, Producer",FALSE
Chagall,1963,1964,36,DOCUMENTARY (Short Subject),"Simon Schiffrin, Producer",TRUE
The Five Cities of June,1963,1964,36,DOCUMENTARY (Short Subject),"George Stevens, Jr., Producer",FALSE
The Spirit of America,1963,1964,36,DOCUMENTARY (Short Subject),"Algernon G. Walker, Producer",FALSE
Thirty Million Letters,1963,1964,36,DOCUMENTARY (Short Subject),"Edgar Anstey, Producer",FALSE
To Live Again,1963,1964,36,DOCUMENTARY (Short Subject),"Mel London, Producer",FALSE
Knife in the Water,1963,1964,36,FOREIGN LANGUAGE FILM,Poland,FALSE
Los Tarantos,1963,1964,36,FOREIGN LANGUAGE FILM,Spain,FALSE
The Red Lanterns,1963,1964,36,FOREIGN LANGUAGE FILM,Greece,FALSE
Twin Sisters of Kyoto,1963,1964,36,FOREIGN LANGUAGE FILM,Japan,FALSE
Bye Bye Birdie,1963,1964,36,MUSIC (Scoring of Music--adaptation or treatment),John Green,FALSE
Papa's Delicate Condition,1963,1964,36,MUSIC (Song),Music by James Van Heusen; Lyrics by Sammy Cahn,TRUE
Mondo Cane,1963,1964,36,MUSIC (Song),Music by Riz Ortolani and Nino Oliviero; Lyrics by Norman Newell,FALSE
Automania 2000,1963,1964,36,SHORT SUBJECT (Cartoon),"John Halas, Producer",FALSE
The Critic,1963,1964,36,SHORT SUBJECT (Cartoon),"Ernest Pintoff, Producer",TRUE
The Game (Igra),1963,1964,36,SHORT SUBJECT (Cartoon),"Dusan Vukotic, Producer",FALSE
My Financial Career,1963,1964,36,SHORT SUBJECT (Cartoon),"Colin Low and Tom Daly, Producers",FALSE
Pianissimo,1963,1964,36,SHORT SUBJECT (Cartoon),"Carmen D'Avino, Producer",FALSE
The Concert,1963,1964,36,SHORT SUBJECT (Live Action),"Ezra Baker, Producer",FALSE
Home-Made Car,1963,1964,36,SHORT SUBJECT (Live Action),"James Hill, Producer",FALSE
An Occurrence at Owl Creek Bridge,1963,1964,36,SHORT SUBJECT (Live Action),"Paul de Roubaix and Marcel Ichac, Producers",TRUE
Six-Sided Triangle,1963,1964,36,SHORT SUBJECT (Live Action),"Christopher Miles, Producer",FALSE
That's Me,1963,1964,36,SHORT SUBJECT (Live Action),"Walker Stuart, Producer",FALSE
A Gathering of Eagles,1963,1964,36,SOUND EFFECTS,Robert L. Bratton,FALSE
The Pumpkin Eater,1964,1965,37,ACTRESS,Anne Bancroft,FALSE
Marriage Italian Style,1964,1965,37,ACTRESS,Sophia Loren,FALSE
The Unsinkable Molly Brown,1964,1965,37,ACTRESS,Debbie Reynolds,FALSE
The Chalk Garden,1964,1965,37,ACTRESS IN A SUPPORTING ROLE,Dame Edith Evans,FALSE
"Hush...Hush, Sweet Charlotte",1964,1965,37,ACTRESS IN A SUPPORTING ROLE,Agnes Moorehead,FALSE
What a Way to Go!,1964,1965,37,ART DIRECTION (Color),"Art Direction:  Jack Martin Smith, Ted Haworth;  Set Decoration:  Walter M. Scott, Stuart A. Reiss",FALSE
Fate Is the Hunter,1964,1965,37,CINEMATOGRAPHY (Black-and-White),Milton Krasner,FALSE
A House Is Not a Home,1964,1965,37,COSTUME DESIGN (Black-and-White),Edith Head,FALSE
Kisses for My President,1964,1965,37,COSTUME DESIGN (Black-and-White),Howard Shoup,FALSE
The Finest Hours,1964,1965,37,DOCUMENTARY (Feature),"Jack Le Vien, Producer",FALSE
Four Days in November,1964,1965,37,DOCUMENTARY (Feature),"Mel Stuart, Producer",FALSE
The Human Dutch,1964,1965,37,DOCUMENTARY (Feature),"Bert Haanstra, Producer",FALSE
Jacques-Yves Cousteau's World without Sun,1964,1965,37,DOCUMENTARY (Feature),"Jacques-Yves Cousteau, Producer",TRUE
"Over There, 1914-18",1964,1965,37,DOCUMENTARY (Feature),"Jean Aurel, Producer",FALSE
Breaking the Habit,1964,1965,37,DOCUMENTARY (Short Subject),"Henry Jacobs and John Korty, Producers",FALSE
Children Without,1964,1965,37,DOCUMENTARY (Short Subject),"Charles Guggenheim, Producer",FALSE
Kenojuak,1964,1965,37,DOCUMENTARY (Short Subject),National Film Board of Canada,FALSE
Nine from Little Rock,1964,1965,37,DOCUMENTARY (Short Subject),"Charles Guggenheim, Producer",TRUE
140 Days under the World,1964,1965,37,DOCUMENTARY (Short Subject),"Geoffrey Scott and Oxley Hughan, Producers",FALSE
Raven's End,1964,1965,37,FOREIGN LANGUAGE FILM,Sweden,FALSE
Sallah,1964,1965,37,FOREIGN LANGUAGE FILM,Israel,FALSE
The Umbrellas of Cherbourg,1964,1965,37,FOREIGN LANGUAGE FILM,France,FALSE
Woman in the Dunes,1964,1965,37,FOREIGN LANGUAGE FILM,Japan,FALSE
"Yesterday, Today and Tomorrow",1964,1965,37,FOREIGN LANGUAGE FILM,Italy,TRUE
The Fall of the Roman Empire,1964,1965,37,MUSIC (Music Score--substantially original),Dimitri Tiomkin,FALSE
Dear Heart,1964,1965,37,MUSIC (Song),Music by Henry Mancini; Lyrics by Jay Livingston and Ray Evans,FALSE
Where Love Has Gone,1964,1965,37,MUSIC (Song),Music by James Van Heusen; Lyrics by Sammy Cahn,FALSE
Christmas Cracker,1964,1965,37,SHORT SUBJECT (Cartoon),National Film Board of Canada,FALSE
How to Avoid Friendship,1964,1965,37,SHORT SUBJECT (Cartoon),"William L. Snyder, Producer",FALSE
Nudnik #2,1964,1965,37,SHORT SUBJECT (Cartoon),"William L. Snyder, Producer",FALSE
The Pink Phink,1964,1965,37,SHORT SUBJECT (Cartoon),"David H. DePatie and Friz Freleng, Producers",TRUE
Casals Conducts: 1964,1964,1965,37,SHORT SUBJECT (Live Action),"Edward Schreiber, Producer",TRUE
Help! My Snowman's Burning Down,1964,1965,37,SHORT SUBJECT (Live Action),"Carson Davidson, Producer",FALSE
The Legend of Jimmy Blue Eyes,1964,1965,37,SHORT SUBJECT (Live Action),"Robert Clouse, Producer",FALSE
The Lively Set,1964,1965,37,SOUND EFFECTS,Robert L. Bratton,FALSE
7 Faces of Dr. Lao,1964,1965,37,SPECIAL VISUAL EFFECTS,Jim Danforth,FALSE
"One Potato, Two Potato",1964,1965,37,WRITING (Story and Screenplay--written directly for the screen),"Story by Orville H. Hampton;  Screenplay by Raphael Hayes, Orville H. Hampton",FALSE
The Organizer,1964,1965,37,WRITING (Story and Screenplay--written directly for the screen),"Age, Scarpelli, Mario Monicelli",FALSE
That Man from Rio,1964,1965,37,WRITING (Story and Screenplay--written directly for the screen),"Jean-Paul Rappeneau, Ariane Mnouchkine, Daniel Boulanger, Philippe De Broca",FALSE
The Spy Who Came In from the Cold,1965,1966,38,ACTOR,Richard Burton,FALSE
The Pawnbroker,1965,1966,38,ACTOR,Rod Steiger,FALSE
A Thousand Clowns,1965,1966,38,ACTOR IN A SUPPORTING ROLE,Martin Balsam,TRUE
A Patch of Blue,1965,1966,38,ACTRESS,Elizabeth Hartman,FALSE
Inside Daisy Clover,1965,1966,38,ACTRESS IN A SUPPORTING ROLE,Ruth Gordon,FALSE
King Rat,1965,1966,38,ART DIRECTION (Black-and-White),Art Direction:  Robert Emmet Smith;  Set Decoration:  Frank Tuttle,FALSE
The Slender Thread,1965,1966,38,ART DIRECTION (Black-and-White),"Art Direction:  Hal Pereira, Jack Poplin;  Set Decoration:  Robert Benton, Joseph Kish",FALSE
Morituri,1965,1966,38,CINEMATOGRAPHY (Black-and-White),Conrad Hall,FALSE
The Great Race,1965,1966,38,CINEMATOGRAPHY (Color),Russell Harlan,FALSE
A Rage to Live,1965,1966,38,COSTUME DESIGN (Black-and-White),Howard Shoup,FALSE
The Battle of the Bulge...The Brave Rifles,1965,1966,38,DOCUMENTARY (Feature),"Laurence E. Mascott, Producer",FALSE
The Eleanor Roosevelt Story,1965,1966,38,DOCUMENTARY (Feature),"Sidney Glazier, Producer",TRUE
The Forth Road Bridge,1965,1966,38,DOCUMENTARY (Feature),"Peter Mills, Producer",FALSE
Let My People Go,1965,1966,38,DOCUMENTARY (Feature),"Marshall Flaum, Producer",FALSE
To Die in Madrid,1965,1966,38,DOCUMENTARY (Feature),"Fr̩d̩ric Rossif, Producer",FALSE
Mural on Our Street,1965,1966,38,DOCUMENTARY (Short Subject),"Kirk Smallman, Producer",FALSE
Ouverture,1965,1966,38,DOCUMENTARY (Short Subject),Mafilm Productions,FALSE
Point of View,1965,1966,38,DOCUMENTARY (Short Subject),Vision Associates Productions,FALSE
To Be Alive!,1965,1966,38,DOCUMENTARY (Short Subject),"Francis Thompson, Producer",TRUE
Yeats Country,1965,1966,38,DOCUMENTARY (Short Subject),"Patrick Carey and Joe Mendoza, Producers",FALSE
Blood on the Land,1965,1966,38,FOREIGN LANGUAGE FILM,Greece,FALSE
Kwaidan,1965,1966,38,FOREIGN LANGUAGE FILM,Japan,FALSE
The Shop on Main Street,1965,1966,38,FOREIGN LANGUAGE FILM,Czechoslovakia,TRUE
The Pleasure Seekers,1965,1966,38,MUSIC (Scoring of Music--adaptation or treatment),"Lionel Newman, Alexander Courage",FALSE
The Sandpiper,1965,1966,38,MUSIC (Song),Music by Johnny Mandel; Lyrics by Paul Francis Webster,TRUE
Clay or The Origin of Species,1965,1966,38,SHORT SUBJECT (Cartoon),"Eliot Noyes, Jr., Producer",FALSE
The Dot and the Line,1965,1966,38,SHORT SUBJECT (Cartoon),"Chuck Jones and Les Goldman, Producers",TRUE
The Thieving Magpie (La Gazza Ladra),1965,1966,38,SHORT SUBJECT (Cartoon),"Emanuele Luzzati, Producer",FALSE
The Chicken (Le Poulet),1965,1966,38,SHORT SUBJECT (Live Action),"Claude Berri, Producer",TRUE
Fortress of Peace,1965,1966,38,SHORT SUBJECT (Live Action),"Lothar Wolff, Producer",FALSE
Skaterdater,1965,1966,38,SHORT SUBJECT (Live Action),"Marshal Backlar and Noel Black, Producers",FALSE
Snow,1965,1966,38,SHORT SUBJECT (Live Action),"Edgar Anstey, Producer",FALSE
Time Piece,1965,1966,38,SHORT SUBJECT (Live Action),"Jim Henson, Producer",FALSE
Casanova '70,1965,1966,38,WRITING (Story and Screenplay--written directly for the screen),"Age, Scarpelli, Mario Monicelli, Tonino Guerra, Giorgio Salvioni, Suso Cecchi D'Amico",FALSE
Those Magnificent Men in Their Flying Machines,1965,1966,38,WRITING (Story and Screenplay--written directly for the screen),"Jack Davies, Ken Annakin",FALSE
The Russians Are Coming The Russians Are Coming,1966,1967,39,ACTOR,Alan Arkin,FALSE
Georgy Girl,1966,1967,39,ACTOR IN A SUPPORTING ROLE,James Mason,FALSE
A Man and a Woman,1966,1967,39,ACTRESS,Anouk Aimee,FALSE
Morgan!,1966,1967,39,ACTRESS,Vanessa Redgrave,FALSE
Hawaii,1966,1967,39,ACTRESS IN A SUPPORTING ROLE,Jocelyne Lagarde,FALSE
You're a Big Boy Now,1966,1967,39,ACTRESS IN A SUPPORTING ROLE,Geraldine Page,FALSE
The Gospel According to St. Matthew,1966,1967,39,ART DIRECTION (Black-and-White),Luigi Scaccianoce,FALSE
Is Paris Burning?,1966,1967,39,ART DIRECTION (Black-and-White),"Art Direction:  Willy Holt;  Set Decoration:  Marc Frederix, Pierre Guffroy",FALSE
Mister Buddwing,1966,1967,39,ART DIRECTION (Black-and-White),"Art Direction:  George W. Davis, Paul Groesse;  Set Decoration:  Henry Grace, Hugh Hunt",FALSE
Juliet of the Spirits,1966,1967,39,ART DIRECTION (Color),Piero Gherardi,FALSE
The Oscar,1966,1967,39,ART DIRECTION (Color),"Art Direction:  Hal Pereira, Arthur Lonergan;  Set Decoration:  Robert Benton, James Payne",FALSE
Mandragola,1966,1967,39,COSTUME DESIGN (Black-and-White),Danilo Donati,FALSE
The Face of Genius,1966,1967,39,DOCUMENTARY (Feature),"Alfred R. Kelman, Producer",FALSE
Helicopter Canada,1966,1967,39,DOCUMENTARY (Feature),"Peter Jones and Tom Daly, Producers",FALSE
Le Volcan Interdit (The Forbidden Volcano),1966,1967,39,DOCUMENTARY (Feature),"Haroun Tazieff, Producer",FALSE
The Really Big Family,1966,1967,39,DOCUMENTARY (Feature),"Alex Grasshoff, Producer",FALSE
The War Game,1966,1967,39,DOCUMENTARY (Feature),"Peter Watkins, Producer",TRUE
Adolescence,1966,1967,39,DOCUMENTARY (Short Subject),"Marin Karmitz and Vladimir Forgency, Producers",FALSE
Cowboy,1966,1967,39,DOCUMENTARY (Short Subject),"Michael Ahnemann and Gary Schlosser, Producers",FALSE
The Odds Against,1966,1967,39,DOCUMENTARY (Short Subject),"Lee R. Bobker and Helen Kristt Radin, Producers",FALSE
Saint Matthew Passion,1966,1967,39,DOCUMENTARY (Short Subject),Mafilm Studio,FALSE
A Year toward Tomorrow,1966,1967,39,DOCUMENTARY (Short Subject),"Edmond A. Levy, Producer",TRUE
The Battle of Algiers,1966,1967,39,FOREIGN LANGUAGE FILM,Italy,FALSE
Loves of a Blonde,1966,1967,39,FOREIGN LANGUAGE FILM,Czechoslovakia,FALSE
Pharaoh,1966,1967,39,FOREIGN LANGUAGE FILM,Poland,FALSE
The Bible,1966,1967,39,MUSIC (Original Music Score),Toshiro Mayuzumi,FALSE
A Funny Thing Happened on the Way to the Forum,1966,1967,39,MUSIC (Scoring of Music--adaptation or treatment),Ken Thorne,TRUE
The Singing Nun,1966,1967,39,MUSIC (Scoring of Music--adaptation or treatment),Harry Sukman,FALSE
Stop the World--I Want to Get Off,1966,1967,39,MUSIC (Scoring of Music--adaptation or treatment),Al Ham,FALSE
An American Dream,1966,1967,39,MUSIC (Song),Music by Johnny Mandel; Lyrics by Paul Francis Webster,FALSE
The Drag,1966,1967,39,SHORT SUBJECT (Cartoon),"Wolf Koenig and Robert Verrall, Producers",FALSE
Herb Alpert and the Tijuana Brass Double Feature,1966,1967,39,SHORT SUBJECT (Cartoon),"John Hubley and Faith Hubley, Producers",TRUE
The Pink Blueprint,1966,1967,39,SHORT SUBJECT (Cartoon),"David H. DePatie and Friz Freleng, Producers",FALSE
Turkey the Bridge,1966,1967,39,SHORT SUBJECT (Live Action),"Derek Williams, Producer",FALSE
Wild Wings,1966,1967,39,SHORT SUBJECT (Live Action),"Edgar Anstey, Producer",TRUE
The Winning Strain,1966,1967,39,SHORT SUBJECT (Live Action),"Leslie Winik, Producer",FALSE
The Naked Prey,1966,1967,39,WRITING (Story and Screenplay--written directly for the screen),"Clint Johnston, Don Peters",FALSE
The Whisperers,1967,1968,40,ACTRESS,Dame Edith Evans,FALSE
Wait until Dark,1967,1968,40,ACTRESS,Audrey Hepburn,FALSE
Camelot,1967,1968,40,ART DIRECTION,"Art Direction:  John Truscott, Edward Carrere;  Set Decoration:  John W. Brown",TRUE
The Happiest Millionaire,1967,1968,40,COSTUME DESIGN,Bill Thomas,FALSE
The Anderson Platoon,1967,1968,40,DOCUMENTARY (Feature),"Pierre Schoendoerffer, Producer",TRUE
Festival,1967,1968,40,DOCUMENTARY (Feature),"Murray Lerner, Producer",FALSE
Harvest,1967,1968,40,DOCUMENTARY (Feature),"Carroll Ballard, Producer",FALSE
A King's Story,1967,1968,40,DOCUMENTARY (Feature),"Jack Le Vien, Producer",FALSE
A Time for Burning,1967,1968,40,DOCUMENTARY (Feature),"William C. Jersey, Producer",FALSE
Monument to the Dream,1967,1968,40,DOCUMENTARY (Short Subject),"Charles E. Guggenheim, Producer",FALSE
A Place to Stand,1967,1968,40,DOCUMENTARY (Short Subject),"Christopher Chapman, Producer",FALSE
The Redwoods,1967,1968,40,DOCUMENTARY (Short Subject),"Mark Harris and Trevor Greenwood, Producers",TRUE
See You at the Pillar,1967,1968,40,DOCUMENTARY (Short Subject),"Robert Fitchett, Producer",FALSE
While I Run This Race,1967,1968,40,DOCUMENTARY (Short Subject),"Carl V. Ragsdale, Producer",FALSE
Beach Red,1967,1968,40,FILM EDITING,Frank P. Keller,FALSE
Closely Watched Trains,1967,1968,40,FOREIGN LANGUAGE FILM,Czechoslovakia,TRUE
El Amor Brujo,1967,1968,40,FOREIGN LANGUAGE FILM,Spain,FALSE
I Even Met Happy Gypsies,1967,1968,40,FOREIGN LANGUAGE FILM,Yugoslavia,FALSE
Live for Life,1967,1968,40,FOREIGN LANGUAGE FILM,France,FALSE
Portrait of Chieko,1967,1968,40,FOREIGN LANGUAGE FILM,Japan,FALSE
Banning,1967,1968,40,MUSIC (Song),Music by Quincy Jones; Lyrics by Bob Russell,FALSE
Hypothese Beta,1967,1968,40,SHORT SUBJECT (Cartoon),"Jean-Charles Meunier, Producer",FALSE
What on Earth!,1967,1968,40,SHORT SUBJECT (Cartoon),"Robert Verrall and Wolf Koenig, Producers",FALSE
Paddle to the Sea,1967,1968,40,SHORT SUBJECT (Live Action),"Julian Biggs, Producer",FALSE
Sky over Holland,1967,1968,40,SHORT SUBJECT (Live Action),"John Ferno, Producer",FALSE
"Stop, Look and Listen",1967,1968,40,SHORT SUBJECT (Live Action),"Len Janson and Chuck Menville, Producers",FALSE
Tobruk,1967,1968,40,SPECIAL VISUAL EFFECTS,"Howard A. Anderson, Jr., Albert Whitlock",FALSE
Ulysses,1967,1968,40,WRITING (Screenplay--based on material from another medium),"Joseph Strick, Fred Haines",FALSE
